region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
W,BROADLEAF,451,6975.8700406,629143.97448,114691.03,134642.2473,217.41872087,0.0608231528,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Wales
W,CONIFER,235,991.98560078,183880.62029,37630.57,79520.87103,112.63973698,0.0263611633,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Wales
W,TRANSITION,181,1695.5837386,89237.876125,33571.9,33248.72398,95.955222902,0.0505060404,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Wales
W,UNCERTAIN,20,2786.3968621,116794.54885,7169.42,7274.634152,4.5759661263,0.3886502482,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Wales
W,WOODLANDEDGE,553,266747.24479,5211391.8607,290366.01,164622.2119,219.29803714,0.9186586432,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Wales
NWE,BROADLEAF,189,3969.1138939,453886.68866,61730.14,68325.6599,99.870678189,0.0642978275,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NWE,CONIFER,77,572.53715883,101125.77595,16679.88,30498.80345,42.27366051,0.0343250167,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NWE,TRANSITION,69,1872.4824372,215105.13213,14224.52,14567.22272,37.646051736,0.1316376537,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NWE,UNCERTAIN,18,2221.2058321,97837.771549,5690.3,5640.260524,9.2259416103,0.3903495127,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NWE,WOODLANDEDGE,222,139273.16084,10110994.159,154885.77,77597.38074,86.429796794,0.8991992024,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NEE,BROADLEAF,104,2740.67342,283002.71095,27090.25,32353.68799,44.417612658,0.1011682587,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NEE,CONIFER,89,1024.9859915,168309.68603,21977.72,34907.53584,50.452687076,0.0466375034,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NEE,TRANSITION,65,1675.4399702,100902.02824,14163.31,13933.41442,36.116294897,0.1182943796,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NEE,UNCERTAIN,16,1400.5619054,61945.755582,4476.3,4630.655166,8.2479123049,0.3128838338,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NEE,WOODLANDEDGE,155,90518.370546,607721.74723,94929.48,50936.93793,66.447463981,0.9535327756,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
YHE,BROADLEAF,182,3361.8498162,394860.66146,62964.61,70485.73277,95.950337222,0.0533926886,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
YHE,CONIFER,96,402.14451483,18602.836227,20619.41,34268.03197,40.718961229,0.0195032018,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
YHE,TRANSITION,47,930.01366728,112676.47549,11051.57,13954.3172,22.60472507,0.0841521763,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
YHE,UNCERTAIN,16,3818.0059159,77200.710537,5169.53,5006.792387,6.8789956035,0.738559582,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
YHE,WOODLANDEDGE,203,145088.67208,4366534.6912,152217.72,77702.78565,83.972792841,0.9531654533,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
WME,BROADLEAF,205,4439.8078923,427818.51005,75887.52,87439.1785,107.60911014,0.0585051125,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
WME,CONIFER,81,164.97489136,9526.74561,17750.17,31230.25651,39.671958205,0.0092942711,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
WME,TRANSITION,39,1897.2032835,297093.96565,9321.31,12768.41843,16.421103368,0.2035339757,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
WME,UNCERTAIN,17,1260.2268684,82897.577871,3992.13,4282.056362,7.996566279,0.3156778132,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
WME,WOODLANDEDGE,208,163265.60422,1564638.3365,170754.97,85096.47943,92.736311731,0.9561396908,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EME,BROADLEAF,209,1731.9345158,156744.09018,61068.86,68251.43405,121.67498314,0.0283603545,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EME,CONIFER,57,117.28704131,3001.0402338,11977.4,21145.39866,25.259029536,0.0097923624,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EME,TRANSITION,39,674.3271114,72007.415765,8423.06,11967.58864,20.66479866,0.0800572608,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EME,UNCERTAIN,13,1879.4939811,31241.190356,3457.13,3559.823207,3.7817899199,0.5436573057,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EME,WOODLANDEDGE,194,133624.567,1474749.4189,140575.74,68139.339,77.367101009,0.9505521152,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SWE,BROADLEAF,555,5851.1313102,470579.806,159855.04,184369.9146,303.83908188,0.0366027328,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SWE,CONIFER,207,1206.0690888,170074.10302,36836.68,66775.65009,91.505922804,0.0327409823,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SWE,TRANSITION,104,1198.0122264,98587.680428,19724.25,27786.07458,40.671380641,0.060738037,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SWE,UNCERTAIN,23,2398.5677939,191559.6291,5758.65,7351.84678,6.9604789334,0.4165156406,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SWE,WOODLANDEDGE,524,302853.77664,3841288.9278,326116.28,176036.0266,208.40808465,0.9286680709,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SELE,BROADLEAF,767,13803.519987,1630620.4416,229553.93,262418.9076,448.66735417,0.0601319262,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SELE,CONIFER,232,996.42733999,54861.411539,41034.21,75876.57266,116.77115534,0.0242828445,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SELE,TRANSITION,91,3311.9487971,231501.85992,18086.25,21801.509,34.396195185,0.1831197068,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SELE,UNCERTAIN,14,1042.1824871,89373.026827,4579.88,5305.766622,7.3554540933,0.2275567236,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
SELE,WOODLANDEDGE,615,325823.36391,12214051.723,355525.34,212088.8413,232.32139091,0.9164560926,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EE,BROADLEAF,264,5075.1123647,574311.99001,99430.68,110343.8538,147.47547721,0.0510417143,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EE,CONIFER,96,481.95223567,33185.875908,19191.31,31490.6548,40.542071033,0.0251130452,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EE,TRANSITION,39,1181.5794626,87978.939082,9239.04,10382.74294,13.643373194,0.1278898525,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EE,UNCERTAIN,11,1224.6405512,112564.68729,4041.67,4008.249849,5.3530512103,0.3030035978,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
EE,WOODLANDEDGE,271,207442.48545,2264999.5802,216497.85,106531.8915,118.01702626,0.9581734204,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,England
NS,BROADLEAF,87,1269.2047876,212065.06416,24903.91,34727.81637,49.677016569,0.050964077,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NS,CONIFER,187,1276.1388787,71184.872319,55335.46,83192.06935,125.57016695,0.0230618645,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NS,TRANSITION,174,11604.51975,1265331.8857,50305.13,51448.24894,108.04596308,0.2306826312,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NS,UNCERTAIN,76,20523.404484,2197549.9067,37024.51,41236.77314,46.928814849,0.5543194085,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NS,WOODLANDEDGE,202,77503.916196,13859364.357,94853.67,84132.08068,59.566637403,0.8170892723,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
WS,BROADLEAF,161,5835.8822383,3344521.2999,53674.49,73147.96956,84.542120093,0.1087272974,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
WS,CONIFER,275,3040.4999066,452205.73849,83368.63,130124.569,188.20367055,0.0364705514,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
WS,TRANSITION,218,4991.780104,290097.64316,60411.16,56573.37256,135.04384478,0.0826300985,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
WS,UNCERTAIN,97,27455.872792,1525720.1505,39573.4,44395.01352,58.851273069,0.6937961558,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
WS,WOODLANDEDGE,284,115770.61714,6729475.2243,134316.33,117252.6033,78.262312695,0.8619251072,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NES,BROADLEAF,129,3896.328991,449131.69138,34221.73,46554.6259,62.660277765,0.1138554068,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NES,CONIFER,303,2427.8753044,359940.43314,89598.4,125440.7248,203.61959615,0.0270973065,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NES,TRANSITION,165,2966.2281295,153144.83388,35992.78,42636.63143,81.09944303,0.082411754,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NES,UNCERTAIN,59,11358.059056,1114779.1313,22360.24,25781.20449,35.524681667,0.507957833,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
NES,WOODLANDEDGE,286,107228.08184,13908499.527,123317.87,97525.14599,98.83408702,0.8695258995,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
ES,BROADLEAF,120,2242.8833345,103758.04681,30977.69,39808.04355,60.145925102,0.0724031822,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
ES,CONIFER,154,975.17844662,63751.26143,41505.96,60496.57716,95.938025075,0.0234949016,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
ES,TRANSITION,88,1782.0984467,149990.00276,27384.78,26745.22843,51.826003853,0.0650762375,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
ES,UNCERTAIN,27,9429.6788734,187850.66179,12923.6,13743.11271,11.305975657,0.7296479985,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
ES,WOODLANDEDGE,179,91761.069603,1398841.8482,99797.09,65808.24531,57.834157499,0.9194764056,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
SS,BROADLEAF,212,6302.2492478,644217.15649,57573.23,72610.85111,99.084651162,0.109464924,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
SS,CONIFER,422,2093.8244215,139283.19859,104144.43,179414.8627,271.83595001,0.0201050063,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
SS,TRANSITION,408,7826.2794987,468994.58622,108395.86,92650.34678,278.19895641,0.0722009078,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
SS,UNCERTAIN,74,13838.589816,498150.27134,29437.74,28394.22786,28.444862804,0.470096883,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
SS,WOODLANDEDGE,444,240222.29874,3358734.1759,256331.78,165068.7472,161.1910409,0.9371537885,Group1:                .,Group2: .,No group3,"Group1:                .                               , Group2: .                                                                            , No group3",PS,Scotland
W,BROADLEAF,451,0,0,114691.03,134642.2473,217.41872087,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Wales
W,CONIFER,235,0,0,37630.57,79520.87103,112.63973698,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Wales
W,TRANSITION,181,0,0,33571.9,33248.72398,95.955222902,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Wales
W,UNCERTAIN,20,0,0,7169.42,7274.634152,4.5759661263,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Wales
W,WOODLANDEDGE,553,0,0,290366.01,164622.2119,219.29803714,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Wales
NWE,BROADLEAF,189,0,0,61730.14,68325.6599,99.870678189,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NWE,CONIFER,77,0,0,16679.88,30498.80345,42.27366051,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NWE,TRANSITION,69,0,0,14224.52,14567.22272,37.646051736,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NWE,UNCERTAIN,18,0,0,5690.3,5640.260524,9.2259416103,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NWE,WOODLANDEDGE,222,0,0,154885.77,77597.38074,86.429796794,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NEE,BROADLEAF,104,0,0,27090.25,32353.68799,44.417612658,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NEE,CONIFER,89,0,0,21977.72,34907.53584,50.452687076,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NEE,TRANSITION,65,0,0,14163.31,13933.41442,36.116294897,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NEE,UNCERTAIN,16,0,0,4476.3,4630.655166,8.2479123049,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NEE,WOODLANDEDGE,155,0,0,94929.48,50936.93793,66.447463981,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
YHE,BROADLEAF,182,0,0,62964.61,70485.73277,95.950337222,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
YHE,CONIFER,96,0,0,20619.41,34268.03197,40.718961229,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
YHE,TRANSITION,47,0,0,11051.57,13954.3172,22.60472507,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
YHE,UNCERTAIN,16,0,0,5169.53,5006.792387,6.8789956035,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
YHE,WOODLANDEDGE,203,0,0,152217.72,77702.78565,83.972792841,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
WME,BROADLEAF,205,0,0,75887.52,87439.1785,107.60911014,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
WME,CONIFER,81,0,0,17750.17,31230.25651,39.671958205,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
WME,TRANSITION,39,0,0,9321.31,12768.41843,16.421103368,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
WME,UNCERTAIN,17,0,0,3992.13,4282.056362,7.996566279,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
WME,WOODLANDEDGE,208,0,0,170754.97,85096.47943,92.736311731,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EME,BROADLEAF,209,0,0,61068.86,68251.43405,121.67498314,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EME,CONIFER,57,0,0,11977.4,21145.39866,25.259029536,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
