region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
W,BROADLEAF,749,6145.8063198,332989.44963,113990.83,133441.303,387.92906335,0.0539149186,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Wales
W,CONIFER,429,860.81721434,23876.950825,44675.71,82735.4511,218.52211431,0.0192681261,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Wales
W,TRANSITION,232,996.80609106,21551.18511,26019.3,25594.0205,122.4109292,0.0383102578,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Wales
W,UNCERTAIN,29,2613.9259199,278728.11951,5102.65,8525.069195,8.8320927813,0.5122683155,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Wales
W,WOODLANDEDGE,912,270315.50606,2930072.6724,286660.32,163474.3229,340.02605924,0.9429819448,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Wales
NWE,BROADLEAF,311,1807.2255483,92027.002586,61104.31,67309.59888,169.66990814,0.0295760732,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NWE,CONIFER,149,664.8169184,81239.434544,18854.42,31505.5017,86.993465701,0.0352605341,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NWE,TRANSITION,88,314.79178785,5046.4028755,12216.42,10852.98518,45.934644503,0.0257679245,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NWE,UNCERTAIN,22,2629.4591219,555724.27317,4200.96,7251.047305,8.8452994186,0.6259186286,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NWE,WOODLANDEDGE,336,144500.25106,5599398.359,153120.14,77488.74893,120.04368999,0.943705061,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NEE,BROADLEAF,150,1677.1686387,127844.34787,26515.53,31890.38602,67.374783534,0.0632523143,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NEE,CONIFER,169,560.73752785,24105.350472,24400.52,34308.65019,99.307222912,0.0229805565,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NEE,TRANSITION,100,435.98604219,7665.0110482,12156.43,12101.49,51.327914027,0.0358646447,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NEE,UNCERTAIN,16,1323.0294577,772072.11786,3568.56,5888.368926,7.8384571356,0.3707460314,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NEE,WOODLANDEDGE,250,89920.606727,2281261.4705,94335.66,50641.70735,103.54498777,0.9531984695,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
YHE,BROADLEAF,558,2677.1431626,98275.330768,60734.25,69506.2633,305.82574235,0.0440796283,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
YHE,CONIFER,271,472.2801476,10179.852981,21778.86,34898.54877,142.13623327,0.0216852557,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
YHE,TRANSITION,126,677.8204076,17778.422402,10759.05,10042.25278,61.169973966,0.0630000239,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
YHE,UNCERTAIN,22,2021.5269284,295541.43092,3821.46,7491.661141,7.5244254494,0.5289933503,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
YHE,WOODLANDEDGE,590,139641.25972,1365098.6317,148961.39,77708.91421,224.81768586,0.9374325771,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
WME,BROADLEAF,388,3493.5812922,218792.79823,75722.79,86708.09502,215.40868765,0.0461364576,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
WME,CONIFER,161,201.86122446,8198.142877,18854.4,31236.93778,77.064424006,0.0107063192,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
WME,TRANSITION,54,369.66186218,40036.021531,7831.08,10652.87716,24.251399732,0.0472044548,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
WME,UNCERTAIN,22,924.63985403,91262.218679,3258.14,6083.231562,10.14507628,0.2837937762,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
WME,WOODLANDEDGE,349,161379.86201,927020.60478,168695.38,85140.77408,140.30712984,0.9566347461,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EME,BROADLEAF,325,2118.0075605,429943.35344,60199.35,67273.5194,188.4313733,0.0351832297,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EME,CONIFER,107,152.1523117,2788.2725487,12490.81,20967.62496,51.030115958,0.0121811405,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EME,TRANSITION,54,805.5588561,41125.621662,8018.99,9407.164557,25.525840469,0.1004563986,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EME,UNCERTAIN,18,1159.8213987,216131.50519,2560.18,7174.322112,6.0055442077,0.4530233807,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EME,WOODLANDEDGE,293,132672.41246,2930244.0251,138613.58,67973.30524,108.34820176,0.9571386329,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SWE,BROADLEAF,864,6938.156097,349992.03868,158646.14,183571.8366,487.35040987,0.0437335324,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SWE,CONIFER,362,1395.5274175,96797.185451,40381.77,66587.73988,173.03472371,0.0345583519,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SWE,TRANSITION,135,580.8067565,13707.777979,16268.28,23600.35403,54.207268954,0.0357017925,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SWE,UNCERTAIN,22,2658.786,4229848.1187,4786.17,11267.96659,7.1761952187,0.5555143257,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SWE,WOODLANDEDGE,796,302730.3688,5719907.7645,322627.02,175979.8092,289.67777851,0.9383292472,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SELE,BROADLEAF,1165,9246.5868225,512762.60965,230387.69,261196.6056,717.78235601,0.0401348997,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SELE,CONIFER,386,645.08719207,12856.87436,43206.83,75525.35209,193.64808227,0.0149302134,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SELE,TRANSITION,113,1196.2297915,52847.499389,14208.41,18555.69811,40.337774742,0.0841916718,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SELE,UNCERTAIN,16,1146.9921974,311426.04556,3472.9,7517.924664,6.8446321152,0.3302692843,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
SELE,WOODLANDEDGE,893,319933.03508,5806291.751,352216.09,212003.2252,308.81843579,0.9083430433,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EE,BROADLEAF,443,4410.9052036,287679.75426,99705.43,109963.8551,261.32382395,0.0442393679,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EE,CONIFER,158,474.90653929,17749.299744,19770.63,31325.78012,68.991604527,0.0240208096,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EE,TRANSITION,53,739.2349416,39833.545015,7881.66,8046.267364,18.000768397,0.0937917826,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EE,UNCERTAIN,9,912.12906948,249991.93858,2993.96,6006.423617,3.7389053716,0.304656398,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
EE,WOODLANDEDGE,446,208778.2045,1218833.7428,215084.3,106237.7373,184.77576445,0.9706808191,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,England
NS,BROADLEAF,159,1993.4909981,154161.6092,24715.55,33424.73581,74.588014073,0.0806573594,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NS,CONIFER,370,2074.7765724,176742.64453,60372.11,82227.30177,242.08272236,0.0343664744,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NS,TRANSITION,285,5801.3495838,225432.40337,43139.63,41574.6016,160.32655421,0.134478427,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NS,UNCERTAIN,113,12718.858038,8094007.7829,32914.66,37303.94992,59.648340936,0.3864192441,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NS,WOODLANDEDGE,366,86465.28744,5174501.197,92739.29,82649.12326,110.14335253,0.9323479557,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
